1.328325000000000000e+04,2.467100000000000000e+04,3.685600000000000000e+04
7.076000000000000000e+03,1.314000000000000000e+04,2.262725000000000000e+04
4.344500000000000000e+03,7.836500000000000000e+03,1.406875000000000000e+04
3.133000000000000000e+03,5.768000000000000000e+03,9.102500000000000000e+03
2.527750000000000000e+03,4.405500000000000000e+03,6.976750000000000000e+03
2.117750000000000000e+03,3.578500000000000000e+03,5.335250000000000000e+03
1.774000000000000000e+03,3.141000000000000000e+03,4.734000000000000000e+03
1.439500000000000000e+03,2.818500000000000000e+03,3.749500000000000000e+03
1.226750000000000000e+03,2.330000000000000000e+03,3.140500000000000000e+03
1.010750000000000000e+03,1.797000000000000000e+03,2.970000000000000000e+03
8.730000000000000000e+02,1.614500000000000000e+03,2.623500000000000000e+03
7.860000000000000000e+02,1.382000000000000000e+03,2.361250000000000000e+03
7.117500000000000000e+02,1.138000000000000000e+03,1.843750000000000000e+03
6.717500000000000000e+02,1.027000000000000000e+03,1.741500000000000000e+03
5.672500000000000000e+02,9.495000000000000000e+02,1.551000000000000000e+03
5.000000000000000000e+02,8.635000000000000000e+02,1.304500000000000000e+03
4.615000000000000000e+02,7.760000000000000000e+02,1.184250000000000000e+03
4.202500000000000000e+02,6.930000000000000000e+02,1.109750000000000000e+03
3.307500000000000000e+02,5.765000000000000000e+02,1.017750000000000000e+03
3.307500000000000000e+02,5.405000000000000000e+02,9.057500000000000000e+02
2.777500000000000000e+02,4.740000000000000000e+02,8.337500000000000000e+02
2.565000000000000000e+02,4.270000000000000000e+02,8.105000000000000000e+02
2.307500000000000000e+02,4.160000000000000000e+02,7.182500000000000000e+02
2.007500000000000000e+02,3.740000000000000000e+02,6.910000000000000000e+02
1.807500000000000000e+02,3.490000000000000000e+02,6.700000000000000000e+02
1.760000000000000000e+02,3.230000000000000000e+02,5.937500000000000000e+02
1.757500000000000000e+02,2.865000000000000000e+02,5.330000000000000000e+02
1.527500000000000000e+02,2.670000000000000000e+02,4.830000000000000000e+02
1.437500000000000000e+02,2.560000000000000000e+02,4.830000000000000000e+02
1.175000000000000000e+02,2.465000000000000000e+02,4.382500000000000000e+02
1.140000000000000000e+02,2.325000000000000000e+02,4.050000000000000000e+02
1.132500000000000000e+02,2.160000000000000000e+02,3.995000000000000000e+02
1.082500000000000000e+02,2.000000000000000000e+02,3.665000000000000000e+02
9.900000000000000000e+01,1.895000000000000000e+02,3.337500000000000000e+02
9.050000000000000000e+01,1.700000000000000000e+02,3.287500000000000000e+02
7.975000000000000000e+01,1.470000000000000000e+02,3.010000000000000000e+02
7.800000000000000000e+01,1.445000000000000000e+02,2.935000000000000000e+02
7.200000000000000000e+01,1.380000000000000000e+02,2.832500000000000000e+02
7.150000000000000000e+01,1.380000000000000000e+02,2.735000000000000000e+02
6.275000000000000000e+01,1.265000000000000000e+02,2.632500000000000000e+02
6.075000000000000000e+01,1.195000000000000000e+02,2.400000000000000000e+02
5.600000000000000000e+01,1.155000000000000000e+02,2.392500000000000000e+02
5.600000000000000000e+01,1.105000000000000000e+02,2.240000000000000000e+02
5.025000000000000000e+01,1.055000000000000000e+02,2.212500000000000000e+02
4.750000000000000000e+01,9.900000000000000000e+01,2.117500000000000000e+02
4.575000000000000000e+01,9.700000000000000000e+01,1.927500000000000000e+02
4.575000000000000000e+01,9.550000000000000000e+01,1.900000000000000000e+02
4.475000000000000000e+01,9.000000000000000000e+01,1.877500000000000000e+02
4.075000000000000000e+01,7.900000000000000000e+01,1.730000000000000000e+02
3.475000000000000000e+01,7.550000000000000000e+01,1.657500000000000000e+02
3.400000000000000000e+01,7.150000000000000000e+01,1.627500000000000000e+02
3.350000000000000000e+01,6.950000000000000000e+01,1.532500000000000000e+02
3.075000000000000000e+01,6.900000000000000000e+01,1.435000000000000000e+02
2.675000000000000000e+01,6.650000000000000000e+01,1.357500000000000000e+02
2.600000000000000000e+01,6.200000000000000000e+01,1.325000000000000000e+02
2.575000000000000000e+01,6.100000000000000000e+01,1.312500000000000000e+02
2.500000000000000000e+01,6.050000000000000000e+01,1.182500000000000000e+02
2.500000000000000000e+01,6.050000000000000000e+01,1.152500000000000000e+02
2.400000000000000000e+01,6.050000000000000000e+01,1.107500000000000000e+02
2.200000000000000000e+01,5.850000000000000000e+01,1.107500000000000000e+02
2.175000000000000000e+01,5.550000000000000000e+01,1.020000000000000000e+02
1.975000000000000000e+01,5.300000000000000000e+01,1.002500000000000000e+02
1.975000000000000000e+01,5.300000000000000000e+01,9.900000000000000000e+01
1.875000000000000000e+01,5.300000000000000000e+01,9.750000000000000000e+01
1.800000000000000000e+01,5.150000000000000000e+01,9.700000000000000000e+01
1.800000000000000000e+01,5.150000000000000000e+01,9.625000000000000000e+01
1.800000000000000000e+01,5.150000000000000000e+01,9.525000000000000000e+01
1.775000000000000000e+01,4.950000000000000000e+01,9.425000000000000000e+01
1.675000000000000000e+01,4.300000000000000000e+01,9.300000000000000000e+01
1.600000000000000000e+01,4.300000000000000000e+01,9.000000000000000000e+01
1.600000000000000000e+01,4.000000000000000000e+01,8.925000000000000000e+01
1.450000000000000000e+01,4.000000000000000000e+01,8.925000000000000000e+01
1.375000000000000000e+01,4.000000000000000000e+01,8.900000000000000000e+01
1.275000000000000000e+01,4.000000000000000000e+01,8.900000000000000000e+01
1.175000000000000000e+01,3.750000000000000000e+01,8.675000000000000000e+01
1.175000000000000000e+01,3.700000000000000000e+01,8.525000000000000000e+01
1.100000000000000000e+01,3.700000000000000000e+01,8.525000000000000000e+01
